Namespace(action_wise=True, actions='*', batch_size=1024, checkpoint='./checkpoint/pretrain_baseline', dataset='h36m', downsample=1, dropout=0.25, epochs=50, evaluate='', keypoints='pelee', lr=0.001, lr_decay=500, lr_gamma=0.96, max_norm=True, note='pretrain', num_workers=2, path_2d='pelee/output/coco/pose_resnet_50/256x192_d256x3_adam_lr1e-3/final_state.pth.tar', posenet_name='mlp', pretrain=False, random_seed=0, s1only=False, snapshot=25, stages=2)
epoch	lr	loss_train	error_h36m_p1	error_h36m_p2	
1.000000	0.001000	0.288153	251.868553	184.970747	
2.000000	0.000960	0.040989	228.806444	163.375521	
3.000000	0.000960	0.029227	219.669975	155.869779	
4.000000	0.000922	0.024909	215.066904	149.980917	
5.000000	0.000885	0.022780	214.135087	146.514604	
6.000000	0.000885	0.021410	208.710972	143.793526	
7.000000	0.000849	0.020510	210.554261	139.245529	
8.000000	0.000849	0.019790	208.515279	142.869235	
9.000000	0.000815	0.019193	203.627762	137.545874	
10.000000	0.000783	0.018719	203.619254	138.136452	
11.000000	0.000783	0.018352	201.486225	137.715552	
12.000000	0.000751	0.017991	201.048584	133.321154	
13.000000	0.000751	0.017686	199.377269	132.646213	
14.000000	0.000721	0.017365	197.806673	130.159403	
15.000000	0.000693	0.017133	197.954140	132.303519	
16.000000	0.000693	0.016871	197.076711	129.164942	
17.000000	0.000665	0.016613	196.161007	130.952418	
18.000000	0.000665	0.016348	196.933792	129.515058	
19.000000	0.000638	0.016115	194.596446	130.221677	
20.000000	0.000613	0.015927	194.215344	127.439428	
21.000000	0.000613	0.015709	194.216615	126.495053	
22.000000	0.000588	0.015501	193.895342	126.685777	
23.000000	0.000565	0.015325	192.014119	127.735624	
24.000000	0.000565	0.015122	193.038889	125.790225	
25.000000	0.000542	0.014967	193.180226	124.713939	
26.000000	0.000542	0.014802	192.188481	124.052637	
27.000000	0.000520	0.014616	193.131996	125.719860	
28.000000	0.000500	0.014506	190.620603	124.100914	
29.000000	0.000500	0.014352	191.143826	125.590643	
30.000000	0.000480	0.014207	191.588049	122.993597	
31.000000	0.000480	0.014048	191.581139	123.170465	
32.000000	0.000460	0.013915	191.595529	123.852333	
33.000000	0.000442	0.013805	190.395520	124.545238	
34.000000	0.000442	0.013699	190.485204	123.600191	
35.000000	0.000424	0.013593	191.464264	122.007969	
36.000000	0.000424	0.013503	190.530234	121.766147	
37.000000	0.000407	0.013413	189.980140	122.017564	
38.000000	0.000391	0.013287	190.996570	121.772835	
39.000000	0.000391	0.013198	189.993946	121.452765	
40.000000	0.000375	0.013124	191.709742	121.235579	
41.000000	0.000360	0.013015	191.324455	122.234181	
42.000000	0.000360	0.012969	190.144722	121.360271	
43.000000	0.000346	0.012890	190.000626	121.278741	
44.000000	0.000346	0.012820	189.797130	121.150494	
45.000000	0.000332	0.012748	189.900595	120.900552	
